usrid,separation,probability,ra,dec,name,bb_kt,powlaw_gamma,var_prob_b,var_mean_b,var_sigma_b,var_max_b,var_min_b,hard_hm,hard_hs,hard_ms,flux_aper_h,flux_aper_lolim_h,flux_aper_hilim_h,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,flux_aper90_h,flux_aper90_lolim_h,flux_aper90_hilim_h,flux_aper90_m,flux_aper90_lolim_m,flux_aper90_hilim_m,flux_aper90_s,flux_aper90_lolim_s,flux_aper90_hilim_s,var_index_m,var_prob_m,ks_prob_m,kp_prob_m,var_sigma_m,var_mean_m,var_min_m,var_max_m,var_index_h,var_prob_h,ks_prob_h,kp_prob_h,var_sigma_h,var_mean_h,var_min_h,var_max_h,var_index_s,var_prob_s,ks_prob_s,kp_prob_s,var_sigma_s,var_mean_s,var_min_s,var_max_s
Cyg X-3,0.05,0.7, 20 32 25.77,+40 57 28.03, 2CXO J203225.7+405728,8.897,-0.576,1.0,3.648,0.161,3.88,3.376,0.9369,,0.747,1.14e-10,1.135e-10,1.144e-10,9.683e-13,9.494e-13,9.872e-13,1.52e-13,1.408e-13,1.633e-13,4.566e-11,4.537e-11,4.595e-11,1.377e-13,1.3e-13,1.454e-13,1.191e-14,9.084e-15,1.474e-14,8.0,1.0,1.0,1.0,0.02084,0.1599,0.1255,0.1929,9.0,1.0,0.998,1.0,0.1112,3.477,3.285,3.622,0.0,0.051,0.475,0.452,2.023e-05,0.0108,0.01078,0.01083
Cyg X-3,0.05,0.7, 20 32 25.77,+40 57 28.03, 2CXO J203225.7+405728,3.283,-0.01,1.0,1.782,0.319,2.255,1.167,0.9307,0.9894,0.7545,4.281e-11,4.254e-11,4.308e-11,4.747e-13,4.601e-13,4.893e-13,9.518e-14,8.488e-14,1.055e-13,0.0,0.0,1.827e-15,0.0,0.0,2.36e-16,0.0,0.0,2.954e-16,8.0,1.0,0.997,1.0,0.01355,0.09025,0.06551,0.1001,10.0,1.0,1.0,1.0,0.3026,1.684,1.105,2.128,0.0,0.292,0.629,0.699,0.000433,0.005913,0.005343,0.006427
Cyg X-3,0.05,0.7, 20 32 25.77,+40 57 28.03, 2CXO J203225.7+405728,5.741,-0.464,1.0,1.555,0.1815,1.854,1.191,0.9432,0.9894,0.6883,3.954e-11,3.901e-11,4.008e-11,3.354e-13,3.108e-13,3.599e-13,5.013e-14,3.852e-14,6.114e-14,0.0,0.0,2.606e-14,0.0,0.0,1.484e-15,0.0,0.0,1.477e-15,2.0,0.686,0.999,0.992,0.007307,0.0627,0.05085,0.0701,9.0,1.0,1.0,1.0,0.169,1.487,1.141,1.767,0.0,0.381,0.566,0.479,0.0008733,0.005291,0.004481,0.008937
GRO J1008-57,0.03,0.79, 10 09 46.96,-58 17 35.49, 2CXO J100946.9-581736,1.368,1.14,1.0,0.5774,0.09281,0.665,0.4175,0.6758,0.9332,0.6971,9.893e-12,9.65e-12,1.014e-11,6.383e-13,6.085e-13,6.68e-13,6.471e-14,5.603e-14,7.34e-14,9.789e-12,9.543e-12,1.004e-11,6.303e-13,5.998e-13,6.609e-13,6.485e-14,5.577e-14,7.393e-14,7.0,0.99,1.0,1.0,0.0187,0.12,0.1013,0.1386,9.0,1.0,1.0,1.0,0.08135,0.4291,0.3113,0.527,0.0,0.108,0.811,0.791,0.0001086,0.01419,0.01405,0.01433
GRO J1750-27,0.05,0.67, 17 49 12.98,-26 38 39.05, 2CXO J174912.9-263839,,,,,,,,0.9994,-0.9994,-0.9994,0.0,0.0,7.234e-15,0.0,0.0,1.84e-15,,,,0.0,0.0,7.234e-15,0.0,0.0,1.838e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRO J1750-27,0.05,0.67, 17 49 12.98,-26 38 39.05, 2CXO J174912.9-263839,,,0.689,0.0008093,0.0001968,0.002051,0.0006943,0.5359,0.9994,0.9994,1.014e-14,7.501e-15,1.278e-14,1.764e-15,1.117e-15,2.41e-15,0.0,0.0,1.978e-16,9.793e-15,7.072e-15,1.238e-14,1.764e-15,1.081e-15,2.419e-15,0.0,0.0,2.047e-16,0.0,0.499,0.595,0.313,1.579e-05,0.000236,0.0002307,0.0003624,1.0,0.627,0.326,0.268,0.0001169,0.0005731,0.0005055,0.001149,,,,,,,,
GRO J1750-27,0.05,0.67, 17 49 12.98,-26 38 39.05, 2CXO J174912.9-263839,,,,,,,,0.4897,0.9994,-0.2099,9.428e-16,1.23e-16,1.763e-15,4.09e-16,7.112e-17,7.468e-16,,,,1.018e-15,1.697e-16,1.824e-15,4.118e-16,6.863e-17,7.549e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRO J1750-27,0.05,0.67, 17 49 12.98,-26 38 39.05, 2CXO J174912.9-263839,,,0.574,0.0002329,1.895e-05,0.0004401,0.0002261,0.5397,0.9994,0.4984,2.622e-15,1.245e-15,3.998e-15,4.843e-16,9.313e-17,8.568e-16,0.0,0.0,2.523e-16,2.721e-15,1.292e-15,4.149e-15,5.241e-16,1.359e-16,9.124e-16,0.0,0.0,2.829e-16,,,,,,,,,1.0,0.587,0.864,0.678,1.255e-05,0.0001663,0.0001627,0.0003208,,,,,,,,
GRO J1750-27,0.05,0.67, 17 49 12.98,-26 38 39.05, 2CXO J174912.9-263839,,,0.419,0.0005322,4.012e-05,0.0007434,0.0005095,0.7995,0.9994,0.4447,7.526e-15,5.19e-15,9.732e-15,3.709e-16,7.418e-17,6.676e-16,,,,7.802e-15,5.381e-15,1.009e-14,4.06e-16,9.368e-17,7.182e-16,,,,,,,,,,,,1.0,0.638,0.866,0.919,0.0001236,0.0004656,0.0003485,0.0007713,,,,,,,,
GRO J1750-27,0.05,0.67, 17 49 12.98,-26 38 39.05, 2CXO J174912.9-263839,,,,,,,,0.9994,0.9994,-0.9994,1.507e-15,4.676e-16,2.546e-15,2.172e-16,0.0,5.067e-16,,,,1.536e-15,4.767e-16,2.596e-15,2.559e-16,0.0,5.301e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,
